"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"10396","Q9UNI6","DUS12_HUMAN","DUSP12",NA,22254900,16083600,16037600,17399900,29581000,29778100,18957000,15978200,29539700,15117900,14198000,14049200,16692500,15508400,15419500,14702900,15711700,15928400,17135900,26606700,26556300,22885300,25987300,17865100,29192000,27720300,25662300
"10397","Q9UNK0","STX8_HUMAN","STX8",NA,22141100,20006100,21859700,38941500,16419200,20398900,18908100,20693000,19596900,19332200,23607500,23184500,33634300,30959400,52251100,39366700,39557700,32445200,34219700,22776000,17898500,18430700,18090500,22504300,17328500,19788200,19274300
"10398","Q9UNK9","ANGE1_HUMAN","ANGEL1",NA,254837,445347,220324,478126,162965,278550,277441,320358,NA,179628,NA,NA,498115,NA,359756,282539,454514,573336,445161,461401,NA,NA,479222,190462,NA,NA,201119
"10399","Q9UNL2","SSRG_HUMAN","SSR3",NA,14213000,12818500,21376700,21636500,8564720,18860000,13883500,14397500,6573420,NA,21559800,13004600,10355300,25059200,16656800,19309600,9010070,10290700,8793120,7882780,NA,NA,NA,NA,NA,7200890,5338640
"10400","Q9UNL4","ING4_HUMAN","ING4",NA,309024,383547,251302,NA,435697,513333,258762,383333,220230,227112,291218,382526,268024,NA,NA,NA,396437,292317,239912,372265,370664,403416,277475,380692,444853,500898,461698
"10401","Q9UNM6","PSD13_HUMAN","PSMD13",NA,125958000,119995000,127283000,152812000,142652000,145125000,120555000,116347000,118088000,112425000,116146000,122671000,162471000,163455000,155387000,146706000,152083000,154058000,159694000,151980000,121919000,145876000,188361000,154233000,156422000,138340000,139214000
"10402","Q9UNN5","FAF1_HUMAN","FAF1",NA,38736400,43082500,43962600,26415900,22475700,20988700,38385000,47812300,40545600,45087900,36968500,40585200,26330000,25486200,24237900,26423900,27842300,25933400,24728900,18162700,19447800,19968000,25418300,23239900,27486500,19680800,18887100
"10403","Q9UNN8","EPCR_HUMAN","PROCR",NA,540169,298453,386608,620101,8620990,3353800,613906,523569,1338960,2732190,338142,396859,1956690,1144840,2320860,2069430,2308470,745248,857018,8342530,11253100,10690600,8191980,3698730,6098840,5599040,6743670
"10404","Q9UNP9","PPIE_HUMAN","PPIE",NA,40432300,38313100,39277700,35029900,31024100,33306600,32739900,35992300,36531800,37201700,35322700,37852000,34446800,36988400,34159900,33637200,42627500,35712900,33982000,28470000,29410200,27735500,36438900,30832200,35286600,30391600,27666100
"10405","Q9UNQ0","ABCG2_HUMAN","ABCG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3196400,NA,NA,NA,NA,NA,NA,NA
"10406","Q9UNQ2","DIM1_HUMAN","DIMT1",NA,32241500,48047100,44315900,30450800,26617600,30232800,32506900,47635800,41524800,41008200,48541100,43975800,24684000,26287300,26166400,29520500,26913800,28862300,30199600,31994700,26671000,28433000,32529600,24319500,38985200,29663600,28676800
"10407","Q9UNS1","TIM_HUMAN","TIMELESS",NA,5829310,5403390,6412770,7567470,5116270,7553040,6507190,7466000,6440240,7017770,6265420,6110380,7758840,9148040,8014880,8083780,9910970,8322040,8804650,7866530,7967110,7130610,8859220,5932050,5081090,8356500,8856480
"10408","Q9UNS2","CSN3_HUMAN","COPS3",NA,47378100,48937400,50610300,62442100,46983400,57785400,40292100,46721600,44057500,42428100,41976300,44651600,64085000,69451400,65807500,63746400,62035500,55103500,57403000,47974300,48369400,43133500,46592100,49675900,45210400,48182700,46957600
"10409","Q9UNT1","RBL2B_HUMAN","RABL2B",NA,6091780,4030240,3625290,6257860,13559200,11579500,6006580,4534440,7022230,5198540,4706190,5355850,7874540,6629990,7231510,6464940,7334410,7223810,7545700,13820000,13301200,13395300,10585900,11417500,15210300,12656000,13026900
"10410","Q9UNW1","MINP1_HUMAN","MINPP1",NA,4122670,4613800,4588850,11341100,6281470,4967980,3564890,4515470,2422600,5082830,4279920,4318620,7972620,7168090,8792960,7259900,6222460,10852000,11452300,5700870,5575560,4901340,4335220,7940010,6253290,4982010,5237570
"10411","Q9UNW8","GP132_HUMAN","GPR132",NA,NA,NA,1061950,881975,NA,1014760,NA,NA,NA,NA,NA,NA,879316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10412","Q9UNW9","NOVA2_HUMAN","NOVA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334225,NA
"10413","Q9UNX3","RL26L_HUMAN","RPL26L1",NA,94584200,85968600,96100000,65817500,65762700,43393800,66359800,47545900,114930000,112516000,105511000,139967000,104083000,89134800,58187400,83992800,79459700,66091000,101916000,104616000,106222000,102666000,135194000,87098700,98271900,81798100,102134000
"10414","Q9UNX4","WDR3_HUMAN","WDR3",NA,17845800,25532200,20825600,14019200,19796500,15415900,20485900,19502500,18353900,24221300,21957600,22170100,18683300,17929700,14236200,12562700,19978400,24158000,20219000,20654000,22225600,19750500,19318800,16310700,20060500,20691200,18908100
"10415","Q9UNX9","KCJ14_HUMAN","KCNJ14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3555770,NA,NA,NA
"10416","Q9UNY4","TTF2_HUMAN","TTF2",NA,7245320,10369100,6001830,4179300,5751730,6276560,8046460,8457760,6743420,8995410,10133000,10365300,4394530,4432410,3878920,3793860,4639500,5233390,5282930,7246700,6761440,7179220,6304480,6343730,6260280,7030860,6762640
