"","Protein.Group","Protein.Names","Genes","First.Protein.Description","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_4W_2","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"1","A0A024R1R8","TMA7B_HUMAN","TMA7B",NA,439415000,424616000,353402000,446997000,410297000,337883000,398527000,413737000,425949000,431842000,501043000,549190000,449949000,400586000,589692000,418346000,462881000,442830000,406093000,409599000,242206000,363793000,378226000,345524000,440643000,352334000,299662000
"2","A0A024RBG1","NUD4B_HUMAN","NUDT4B",NA,26367900,20041700,15904100,20327300,24221300,25326300,26372600,22763100,23823800,26189600,15391500,23556500,18398600,18698200,16141400,21978700,17120100,18627400,16130200,31525700,34938300,34439900,26774500,33826800,25046300,32934100,40190400
"3","A0A075B6I0","LV861_HUMAN","IGLV8-61",NA,NA,NA,NA,NA,NA,NA,567283,NA,482487,NA,NA,515166,446727,NA,NA,NA,NA,NA,NA,570703,NA,511678,NA,802744,NA,524481,NA
"4","A0A075B6I1","LV460_HUMAN","IGLV4-60",NA,NA,NA,NA,NA,NA,NA,560660,NA,753920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A0A075B6K6","LV403_HUMAN","IGLV4-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","A0A075B6Q5","HV364_HUMAN","IGHV3-64",NA,NA,NA,NA,NA,NA,551484,NA,NA,NA,NA,NA,NA,411576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,602315,NA,NA,NA
"7","A0A075B6T8","TVA91_HUMAN","TRAV9-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1324110,NA,NA,NA,NA,NA,NA,NA,NA
"8","A0A075B6V5","TVA36_HUMAN","TRAV36DV7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329170,NA,NA,NA,NA,NA,NA,NA
"9","A0A075B6Y3","TJA3_HUMAN","TRAJ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A0A075B759;P0DN26","PAL4E_HUMAN;PAL4F_HUMAN","PPIAL4E;PPIAL4F",NA,NA,NA,NA,NA,NA,NA,26717.4,NA,NA,NA,NA,NA,NA,NA,NA,166273,NA,NA,NA,NA,NA,NA,NA,NA,22871.4,NA,NA
"11","A0A075B767","PAL4H_HUMAN","PPIAL4H",NA,NA,NA,NA,NA,NA,NA,NA,2477950,NA,NA,NA,NA,2974520,NA,NA,3338290,NA,NA,2376680,NA,NA,NA,NA,3230490,NA,NA,NA
"12","A0A087WTH1","TM265_HUMAN","TMEM265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A0A087WXM9","MEIKN_HUMAN","MEIKIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636809,NA
"14","A0A096LP01","SIM26_HUMAN","SMIM26",NA,286292,1137460,480549,706194,NA,NA,NA,NA,NA,778997,NA,543399,NA,134914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","A0A0A0MS04","TVB67_HUMAN","TRBV6-7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535429,NA,NA,NA,NA,NA,NA,NA,NA,NA,924186,NA
"16","A0A0A0MS06","TVB23_HUMAN","TRBV23-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537747,NA,NA,NA,NA,558309,NA,NA,NA
"17","A0A0A0MT76","LJ01_HUMAN","IGLJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","A0A0A0MT94","TJB22_HUMAN","TRBJ2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184720,NA,NA,NA
"19","A0A0A0MTA7","TJB21_HUMAN","TRBJ2-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692940,NA,NA,NA,NA,NA,NA,NA
"20","A0A0A6YYG2","TVB66_HUMAN","TRBV6-6",NA,NA,560973,438005,NA,NA,NA,NA,701237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298249,NA,NA,NA,214849,NA,NA,206492
"21","A0A0A6YYG3","TVB68_HUMAN","TRBV6-8",NA,NA,NA,NA,NA,261312,NA,NA,NA,NA,NA,NA,NA,NA,NA,199358,NA,177004,NA,NA,NA,NA,NA,NA,NA,343146,NA,NA
"22","A0A0A6YYK4","TVB71_HUMAN","TRBV7-1",NA,NA,NA,NA,NA,NA,NA,2361760,NA,2081070,2252010,NA,NA,2304940,NA,NA,NA,NA,NA,NA,NA,NA,2522130,2148800,2088460,NA,2780040,NA
"23","A0A0A6YYK6","TVA16_HUMAN","TRAV16",NA,NA,NA,NA,NA,NA,NA,NA,NA,724700,841368,NA,NA,327439,NA,NA,NA,NA,NA,487534,NA,NA,NA,NA,NA,NA,295828,NA
"24","A0A0B4J1U4;P03979","TRGV3_HUMAN;TRGV5_HUMAN","TRGV3;TRGV5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80886,NA,NA,NA,NA,NA,NA,NA,NA
"25","A0A0B4J1V7","HV781_HUMAN","IGHV7-81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353620,NA,NA
"26","A0A0B4J1W7;P0DXC3;Q9UND3","NPIA1_HUMAN;NPIA6_HUMAN;NPIA9_HUMAN","NPIPA1;NPIPA6;NPIPA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1767550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","A0A0B4J1Y8","LV949_HUMAN","IGLV9-49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19674100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","A0A0B4J1Y9","HV372_HUMAN","IGHV3-72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653608,770231,NA,NA,NA,NA,396487,NA,NA,NA,NA
"29","A0A0B4J1Z2","KVD43_HUMAN","IGKV1D-43",NA,3717120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","A0A0B4J235","TVAM2_HUMAN","TRAV13-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392055,NA,NA,NA,NA,NA,NA,NA,495275
"31","A0A0B4J238","TVA12_HUMAN","TRAV1-2",NA,NA,NA,3991610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","A0A0B4J240","TVA10_HUMAN","TRAV10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313011,NA,NA,NA,NA,329013,NA,338168,NA,NA,NA,NA,NA,NA,NA
"33","A0A0B4J248","TVA11_HUMAN","TRAV1-1",NA,NA,NA,NA,NA,NA,82783.1,NA,293936,230286,NA,NA,241810,402788,NA,370804,364032,167018,220080,255214,305189,NA,NA,223714,227211,209096,215433,160454
"34","A0A0B4J265","TVAZ2_HUMAN","TRAV26-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209760,NA,NA,175103
"35","A0A0B4J273","TVA34_HUMAN","TRAV34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6730250,NA,NA,NA,NA,NA,NA,NA,NA
"36","A0A0B4J2E0","TVBL4_HUMAN","TRBV12-4",NA,396607,NA,NA,NA,NA,NA,361462,NA,NA,NA,NA,NA,297329,NA,NA,488274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","A0A0B4J2F0","PIOS1_HUMAN","PIGBOS1",NA,10845000,12025600,11645400,14189600,17299800,22637900,13370300,13860400,12221500,13096700,12767900,13371100,14693200,13842400,13174200,12500400,6643090,10540700,9273040,13516700,8609900,12771100,11894200,16418300,12947200,15255300,15693100
"38","A0A0B4J2H0","HV69D_HUMAN","IGHV1-69D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1115430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","A0A0C4DH30","HV316_HUMAN","IGHV3-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999497,NA,NA,NA,NA,NA,482541,NA,NA,NA,NA,NA,NA,NA,NA
"40","A0A0C4DH31","HV118_HUMAN","IGHV1-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740776,NA,NA,NA,NA,NA,NA
"41","A0A0C4DH32","HV320_HUMAN","IGHV3-20",NA,NA,NA,NA,NA,NA,NA,NA,475987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","A0A0C4DH35","HV335_HUMAN","IGHV3-35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1837030,NA,NA,NA,NA,NA,NA,NA
"43","A0A0C4DH36","HV338_HUMAN","IGHV3-38",NA,NA,NA,NA,866174,NA,856188,689643,520620,NA,NA,NA,NA,NA,NA,NA,NA,NA,843148,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","A0A0C4DH72","KV106_HUMAN","IGKV1-6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692849,NA,1162280,NA,NA,NA,NA,NA,NA
"45","A0A0C4DH73","KV112_HUMAN","IGKV1-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36659100,NA,NA,NA,NA,NA,NA
"46","A0A0C5B5G6","MOTSC_HUMAN","MT-RNR1",NA,NA,NA,NA,NA,701445,NA,NA,NA,NA,NA,NA,NA,601056,NA,NA,NA,NA,NA,841898,856356,NA,NA,NA,NA,505090,NA,NA
"47","A0A0G2JMI3","HV692_HUMAN","IGHV1-69-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627280,NA
"48","A0A0J9YVY3","HV741_HUMAN","IGHV7-4-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","A0A0J9YXM7","TJB15_HUMAN","TRBJ1-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187827,NA,NA,NA,NA,NA,NA,NA,NA,NA,134538,NA,NA,NA,NA,76847.5,NA,NA
"50","A0A0J9YXV3","GREP1_HUMAN","GREP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","A0A0J9YXY3;P0DPF7","TVB62_HUMAN;TVB63_HUMAN","TRBV6-2;TRBV6-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","A0A0K0K1A5","TVB65_HUMAN","TRBV6-5",NA,4528110,4012670,4134870,5859850,6445860,5682890,3821950,3134420,3655700,3180990,3549510,4906480,3702460,3806510,4766990,6037900,4727290,4847620,3639320,4921050,4041420,4091950,5187920,5796520,6114040,4031570,NA
"53","A0A0K0K1C0","TVBK1_HUMAN","TRBV11-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A0A0K0K1E9;A0A1B0GX31","TVB76_HUMAN;TVB77_HUMAN","TRBV7-6;TRBV7-7",NA,NA,125075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A0A0K0K1G6","TVBJ3_HUMAN","TRBV10-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209021,NA,NA,163079
"56","A0A0K2S4Q6","CD3CH_HUMAN","CD300H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,871703,NA,NA,NA,NA,NA,NA,NA,NA
"57","A0A0U1RQG5","CT47C_HUMAN","CT47C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947580,NA,NA,NA,NA,NA,NA,NA
"58","A0A0U1RQI7","KLF18_HUMAN","KLF18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","A0A0U1RRA0","ZNOS_HUMAN","ZNF593OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226777,NA,199088,363181,NA,NA,NA,204300,167658
"60","A0A0U1RRI6","CENL3_HUMAN","CENPVL3",NA,372396,NA,213963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","A0A0U1RRL7","MMPOS_HUMAN","MMP24OS",NA,2530830,3205190,2024300,11608200,3877220,3959110,2460050,2198450,1742790,1695860,3349250,3064540,8087410,10433600,8945200,7610970,7990200,8075990,9299990,3182630,2837340,2414580,3319190,3446500,3006700,3435450,3265360
"62","A0A0U1RRN3","MISFA_HUMAN","MISFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215514,NA,NA,NA,NA,NA,NA
"63","A0A1B0GTI1","CC201_HUMAN","CCDC201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","A0A1B0GTK4","F237A_HUMAN","FAM237A",NA,NA,NA,NA,2741650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","A0A1B0GTK5;P0DP71","F236C_HUMAN;F236D_HUMAN","FAM236C;FAM236D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37340.4,NA
"66","A0A1B0GTL2","CT204_HUMAN","C20orf204",NA,NA,NA,NA,254998,NA,157231,NA,NA,NA,NA,NA,NA,248701,NA,NA,NA,NA,155514,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","A0A1B0GTR3;P0DPH9","CX05A_HUMAN;CX05B_HUMAN","CXorf51A;CXorf51B",NA,NA,NA,NA,NA,NA,1336400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","A0A1B0GTS1;A0A1B0GWH4","HSFX3_HUMAN;HSFX4_HUMAN","HSFX3;HSFX4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6247770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","A0A1B0GTW7","CIROP_HUMAN","CIROP",NA,NA,NA,NA,1895530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","A0A1B0GUC4","MYCOS_HUMAN","MYOCOS",NA,2716060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013000,NA
"71","A0A1B0GUS4","UB2L5_HUMAN","UBE2L5",NA,NA,NA,NA,NA,700904,NA,NA,NA,390856,586492,NA,321254,NA,417747,NA,NA,NA,NA,367860,NA,NA,573336,241837,NA,NA,398950,672548
"72","A0A1B0GUT2","CJ143_HUMAN","C10orf143",NA,NA,679882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","A0A1B0GUY1","MRCOL_HUMAN","MARCOL",NA,NA,1971520,1529130,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046410,1172890,NA,NA,NA,NA,NA,NA,NA,NA,1197150,1045750,NA,1324860,NA
"74","A0A1B0GV85","RELD1_HUMAN","REELD1",NA,2912470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2735540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","A0A1B0GVQ0","SPAR_HUMAN","SPAAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276104,NA,NA,NA,NA,NA,NA
"76","A0A1B0GVQ3","CC200_HUMAN","CCDC200",NA,NA,NA,NA,NA,NA,NA,NA,1172100,NA,NA,NA,1636750,NA,1776270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","A0A1B0GVR7","F240C_HUMAN","FAM240C",NA,NA,499990,543631,NA,NA,722373,584595,NA,NA,NA,NA,NA,838525,NA,993741,868524,NA,NA,NA,NA,NA,NA,870303,NA,875816,NA,NA
"78","A0A1B0GVZ2","F240B_HUMAN","FAM240B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7735780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","A0A1B0GW54","SIM39_HUMAN","SMIM39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4869800,NA
"80","A0A1B0GWG4","SRTM2_HUMAN","SERTM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4530240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A0A1B0GX68","TVB2_HUMAN","TRBV2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1351790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","A0A1W2PP81;A0A1W2PR64;A0A1W2PRV1;P0DW11;P0DW12;P0DW13;P0DW14","TFKL3_HUMAN;TFKL5_HUMAN;TFKL6_HUMAN;TFKL7_HUMAN;TFKL8_HUMAN;TFKL9_HUMAN;TFKLJ_HUMAN","TAF11L10;TAF11L3;TAF11L5;TAF11L6;TAF11L7;TAF11L8;TAF11L9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905150,NA
"83","A0A1W2PP97","THSD8_HUMAN","THSD8",NA,NA,849808,NA,695974,NA,NA,NA,669729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,614096,469144,NA,NA
"84","A0A1W2PPD8","KDM4F_HUMAN","KDM4F",NA,NA,NA,1962880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","A0A1W2PPF3","DUXB_HUMAN","DUXB",NA,NA,505370,NA,NA,NA,NA,NA,NA,NA,NA,NA,850411,3057650,NA,NA,NA,2372150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","A0A1W2PPG7","GBG14_HUMAN","GNG14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,950518,NA,NA,NA,NA,NA,NA,NA,NA,80062.5,NA,NA,NA,94520.5,NA
"87","A0A1W2PPL8","TFKLN_HUMAN","TAF11L14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134271,NA,NA
"88","A0A1W2PQJ5","S72L3_HUMAN","SSU72L3",NA,NA,NA,NA,1880590,NA,NA,NA,2218580,NA,NA,1677240,NA,NA,1487740,1451690,1400720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","A0A1W2PS18","PMIS2_HUMAN","PMIS2",NA,NA,NA,NA,NA,NA,NA,NA,3858170,NA,NA,1768510,NA,3672900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","A0A2R8Y619","H2BK1_HUMAN","H2BK1",NA,1102690000,1583480000,1418460000,843436000,1529440000,1040850000,1383010000,1079060000,1283320000,1523120000,1288580000,1291620000,1255190000,1486020000,816891000,1142780000,1585020000,1480580000,1161340000,1216880000,1538190000,1159250000,1255040000,1342190000,1353840000,1474230000,1183150000
"91","A0A2R8YFL7","OSP4A_HUMAN","OOSP4A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25745.9,NA,NA,NA,209973,NA,NA,NA,NA,NA,NA
"92","A0A2Z4LIS9","FXO3B_HUMAN","FOXO3B",NA,NA,NA,NA,NA,NA,235281,NA,NA,NA,230411,NA,NA,NA,NA,NA,NA,NA,NA,180771,NA,NA,NA,NA,NA,NA,NA,NA
"93","A0A3B3IT52","MSD5_HUMAN","MSANTD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789532,NA,NA,NA,NA
"94","A0A494C086","SPD21_HUMAN","SPDYE21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018850,NA,NA
"95","A0A494C0N9;A0A494C0Y3","F246A_HUMAN;F246B_HUMAN","FAM246A;FAM246B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206016,NA,NA,NA,NA,NA,NA,183467,NA,NA,NA,NA,124696,NA,NA
"96","A0A539","TVB42_HUMAN","TRBV4-2",NA,NA,NA,NA,771530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928238,711552,NA,NA,NA,NA,1209210,NA,NA,NA
"97","A0A576","TVB31_HUMAN","TRBV3-1",NA,NA,186531,217247,NA,NA,304202,219216,152241,NA,NA,NA,NA,NA,NA,NA,NA,NA,204239,NA,526136,343060,NA,NA,401228,378282,NA,NA
"98","A0A584","TVBK2_HUMAN","TRBV11-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163990,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","A0A5B0","TVB14_HUMAN","TRBV14",NA,204986,NA,223469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","A0A6I8PU40","TUG1_HUMAN","TUG1",NA,NA,NA,1263130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","A0A804HLA8","GBG5B_HUMAN","GNG5B",NA,NA,NA,NA,NA,NA,1276560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176880,NA,NA,NA,NA,NA,985522,NA
"102","A0A8I5KQE6","RPSA2_HUMAN","RPSA2",NA,1255260000,1424650000,1407760000,1523420000,1125270000,1436460000,1321780000,1330680000,1130500000,1162770000,1431040000,1360780000,1260360000,1489070000,1376460000,1349010000,1318340000,1191510000,1293410000,1201490000,1117670000,1194850000,1324640000,1342840000,1177560000,1268600000,1208250000
"103","A0A8I5KY20","CC92B_HUMAN","CCDC92B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372984,NA,NA,NA,NA,NA,NA
"104","A0A8V8TNH8","F90AB_HUMAN","FAM90A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,992267,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","A0AV96","RBM47_HUMAN","RBM47",NA,NA,NA,339675,NA,1051960,185534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955580,680560,590078,2016450,576839,549057,NA,NA
"106","A0AVF1","IFT56_HUMAN","IFT56",NA,NA,NA,783953,1603750,2042140,2183790,772836,863101,639971,910286,517406,539363,1715570,1540250,1575800,1482210,1781650,1518690,1228670,1679880,1766570,2077930,2305440,2101690,2067750,2459380,2217280
"107","A0AVK6","E2F8_HUMAN","E2F8",NA,819797,821921,787859,NA,919576,1187840,685195,971273,798665,896605,760899,968585,550816,545468,492561,394321,515956,614363,421897,753874,925852,906253,946415,702933,802709,1028310,1099570
"108","A0AVT1","UBA6_HUMAN","UBA6",NA,34668100,30861500,34918500,26585900,38978500,38128800,35689100,35010400,37625700,32935200,32158100,33783100,27592600,29319400,27524200,26161600,29254600,27166200,27039900,38212300,35201000,36107200,39095500,38541200,41840200,35831400,37094800
"109","A0FGR8","ESYT2_HUMAN","ESYT2",NA,76575700,72780200,69702100,100160000,78083200,99971500,74026900,77124200,64417500,63904500,73997300,74870100,92674700,84998700,89380100,90902900,86229300,89810800,86929500,74145800,62723800,66279800,74929000,86156500,86193400,83686000,91010800
"110","A0JLT2","MED19_HUMAN","MED19",NA,9559370,8863230,10619600,12194300,10480500,11904900,7761390,9730810,9766350,8927770,7893230,10056500,12261900,12234000,14161300,12458800,12226500,10251200,10240000,11273800,8826900,9771960,10197300,11211300,10156900,11070600,11257100
"111","A0JNW5","BLT3B_HUMAN","BLTP3B",NA,5342190,4759310,4794380,4281310,3888490,4466960,5021770,5143640,5425240,4388920,4762490,4997210,4630850,4340380,4014450,4313670,3978620,3969070,4030410,3748270,3551670,3632520,3609640,4141710,3941780,4067350,4042450
