"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"A0A024R1R8",1.22527,1.22432,1.21373,1.22606,1.22024,1.20801,1.21989,1.22106,1.22346,1.22548,1.23323,1.23943,1.2254,1.21704,1.2424,1.21974,1.22825,1.2264,1.222,1.22079,1.18895,1.21413,1.21103,1.22623,1.2144,1.20224
"A0A024RBG1",1.05206,1.03615,1.02251,1.03581,1.04614,1.04864,1.05262,1.04258,1.04591,1.05274,1.01881,1.04548,1.02879,1.02875,1.02104,1.03872,1.02528,1.03122,1.02313,1.06293,1.0697,1.06893,1.06789,1.04957,1.06815,1.07849
"A0A0B4J2F0",0.99736,1.00468,1.00329,1.01369,1.02543,1.04174,1.01078,1.01204,1.00481,1.01003,1.00731,1.0106,1.01495,1.01028,1.00854,1.00404,0.96701,0.99614,0.989,1.01079,0.98344,1.00783,1.02337,1.00892,1.02067,1.02057
"A0A0K0K1A5",0.94358,0.93704,0.93944,0.95925,0.96469,0.95672,0.93363,0.92056,0.93049,0.92281,0.9285,0.94885,0.93018,0.93096,0.946,0.95933,0.94606,0.94829,0.93134,0.94859,0.93686,0.93773,0.95924,0.96269,0.93855,0.942955989532718
"A0A0U1RRL7",0.90777,0.92319,0.8954,1.00133,0.93341,0.93448,0.90649,0.89873,0.88488,0.88404,0.92493,0.91987,0.97823,0.99291,0.98472,0.97356,0.97837,0.97973,0.98918,0.92176,0.91508,0.90524,0.92721,0.91897,0.92867,0.92387
"A0A2R8Y619",1.28191,1.30544,1.29942,1.26514,1.3012,1.27722,1.29654,1.28005,1.29137,1.30317,1.29138,1.2921,1.28849,1.29758,1.26245,1.28148,1.30402,1.30076,1.28678,1.28782,1.3028,1.28551,1.29462,1.29538,1.30273,1.28683
"A0A8I5KQE6",1.28989,1.29892,1.29896,1.30153,1.28232,1.29704,1.29375,1.29295,1.28356,1.28653,1.29783,1.29531,1.28875,1.29771,1.29454,1.29168,1.29268,1.28738,1.29342,1.28704,1.28313,1.28738,1.29465,1.28679,1.29346,1.28812
"A0AVF1",0.856165216094665,0.848809606151024,0.8369,0.87949,0.89397,0.89788,0.83517,0.84119,0.82319,0.8457,0.80995,0.81287,0.88287,0.87537,0.8779,0.87303,0.886,0.87679,0.8644,0.88243,0.8859,0.89599,0.89674,0.8959,0.90805,0.90003
"A0AVK6",0.83836,0.83932,0.83721,0.826681969311407,0.84488,0.86043,0.82776,0.84845,0.83683,0.84476,0.83369,0.84893,0.813,0.81159,0.80636,0.79168,0.80971,0.82104,0.7985,0.8331,0.84611,0.84488,0.82928,0.83761,0.85424,0.85683
"A0AVT1",1.06891,1.06276,1.071,1.05234,1.07541,1.07381,1.07126,1.06907,1.07404,1.06687,1.06418,1.06769,1.05371,1.05639,1.05387,1.04942,1.05826,1.05446,1.05498,1.07477,1.07017,1.07184,1.07593,1.08118,1.07336,1.07356
"A0FGR8",1.1177,1.11563,1.11363,1.13398,1.11816,1.1331,1.1162,1.11768,1.10715,1.10772,1.11548,1.1167,1.12822,1.12179,1.12633,1.12595,1.12481,1.12812,1.12697,1.11558,1.10574,1.10926,1.12548,1.12571,1.1257,1.12884
"A0JLT2",0.98959,0.98587,0.9976,1.00436,0.9946,1.0022,0.97727,0.99027,0.991,0.98642,0.9777,0.99305,1.00383,1.00269,1.01298,1.00384,1.00456,0.99443,0.99512,0.99962,0.98497,0.99134,0.99987,0.99396,1.00088,1.0001
"A0JNW5",0.95376,0.94755,0.94857,0.93993,0.93359,0.94191,0.95045,0.95104,0.9548,0.94265,0.9466,0.94998,0.94394,0.93902,0.93543,0.93867,0.93545,0.93597,0.93764,0.93183,0.92891,0.93039,0.93853,0.93565,0.93909,0.93702
"A0MZ66",0.98282,0.96433,0.97525,0.95135,0.98998,0.99427,0.98198,0.9712,0.97939,0.97567,0.97121,0.96897,0.98319,0.97502,0.97789,0.9716,0.97663,0.94538,0.94733,1.00746,1.01091,1.00985,0.98094,0.9716,0.99769,0.99735
"A0PJW6",0.98406,0.99279,0.99213,0.99919,1.01028,0.99095,0.99082,0.99894,1.00748,0.99623,0.97847,0.99045,0.99821,0.98575,1.00071,0.99383,0.99473,1.00694,1.00642,0.9908,0.9929,0.9976,0.98506,0.99797,0.99522,1.00182
"A1L0T0",1.02289,1.02981,1.02714,1.04221,0.99779,1.00898,1.02602,1.02777,1.01163,1.0198,1.02464,1.02889,1.04057,1.02927,1.03905,1.03034,1.03406,1.03299,1.03294,1.00155,1.00049,1.00305,1.00922,0.98147,1.00841,1.00747
"A1L188",0.87534,0.8923,0.89187,0.87792,0.84508,0.84973,0.88723,0.89282,0.87455,0.86151,0.89965,0.90818,0.8828,0.87137,0.89117,0.87983,0.85341,0.87061,0.85248,0.8554,0.865892914461336,0.858527525080691,0.87229,0.86944,0.84388,0.864753447659367
"A2A288",0.95323,0.94898,0.94099,0.93819,0.9228,0.91861,0.95168,0.93429,0.95062,0.9566,0.94278,0.95326,0.95127,0.93139,0.94244,0.94301,0.95347,0.95283,0.94031,0.90639,0.9042,0.90864,0.90843,0.92538,0.91828,0.91953
"A2RRP1",0.98409,0.99444,0.99638,0.98472,1.00286,0.98646,0.99224,0.99359,0.98817,0.99034,0.99293,0.99646,0.98321,0.98058,0.98485,0.98824,0.98246,0.98502,0.98496,0.99801,0.99588,0.99209,1.00857,1.01124,0.98916,0.98492
"A2RTX5",0.92467,0.90508,0.91671,0.90065,0.92872,0.90915,0.93127,0.90682,0.91852,0.94572,0.92352,0.92726,0.9132,0.89766,0.92175,0.90881,0.90962,0.9092,0.90597,0.92522,0.93284,0.93341,0.92622,0.94264,0.90632,0.92971
"A2RU67",0.87496,0.85599,0.85726,0.87867,0.86729,0.86778,0.86785,0.79372,0.87125,0.88645,0.85321,0.86528,0.85054,0.86248,0.86172,0.856298358835017,0.859593952870008,0.79008,0.87513,0.86477,0.8680096741309,0.86216,0.87786,0.867685649548607,0.87549,0.866438160678154
"A2RUS2",1.04938,1.0076,1.03349,1.06927,1.0702,1.06136,1.047,1.0213,1.0408,1.02828,1.0078,1.009,1.07194,1.07268,1.06961,1.07191,1.07393,1.07441,1.07473,1.05701,1.05889,1.06527,1.0534,1.06571,1.05793,1.06124
"A2VDJ0",0.87241,0.8657,0.85761,0.89358,0.86954,0.87772,0.87353,0.82391,0.88187,0.85612,0.85892,0.86306,0.88133,0.87482,0.88707,0.89021,0.87835,0.89774,0.89065,0.89215,0.88123,0.87886,0.86782,0.87975,0.89042,0.88945
"A3KMH1",0.98002,1.00018,0.98162,0.91853,0.93061,0.91399,0.98288,0.99022,0.97663,0.99188,0.98905,0.99248,0.90625,0.90186,0.8772,0.90171,0.89952,0.91197,0.91221,0.89717,0.9156,0.91146,0.90241,0.90612,0.9095,0.90731
"A3KN83",1.03231,1.04008,1.03682,1.04617,1.02441,1.03181,1.0347,1.03526,1.03493,1.03452,1.03526,1.03528,1.04055,1.04262,1.03926,1.03857,1.04357,1.05178,1.05242,1.02895,1.02622,1.02309,1.0256,1.03254,1.0336,1.03192
"A4D1E9",1.00533,1.02286,1.02422,1.03,1.00216,0.99448,1.00912,1.0232,1.02314,1.02048,1.01545,1.01011,1.02524,1.02193,1.00481,1.00812,1.00898,1.02923,1.038,0.98136,0.99736,0.99571,0.97869,0.98965,0.99835,0.99538
"A4D1P6",1.04216,1.03028,1.0102,1.02269,1.02755,1.02001,1.03249,1.02176,1.01491,1.01886,1.02681,1.02781,1.03571,1.03294,1.0336,1.02964,1.02876,1.01624,1.01583,1.00383,1.00131,1.01301,1.02734,1.01168,1.01747,1.01043
"A4D1U4",0.87466,0.87307,0.89721,0.90042,0.91935,0.92035,0.881970869376983,0.89355,0.84364,0.89315,0.89586,0.88051,0.901240697972596,0.87627,0.89323,0.88014,0.8929,0.90141,0.90057,0.91428,0.9013,0.91425,0.92865,0.92304,0.90638,0.89795
"A4FU01",1.07378,1.0846,1.07884,1.09132,1.11092,1.09711,1.09127,1.08417,1.07388,1.06828,1.08504,1.08851,1.09102,1.08858,1.08402,1.08574,1.08241,1.08961,1.09317,1.09889,1.11686,1.08455,1.10014,1.10606,1.09691,1.09118
"A5D8V6",0.95349,0.9371,0.94452,0.94583,0.94061,0.93997,0.94953,0.9494,0.93789,0.92733,0.95384,0.94121,0.94529,0.95125,0.93828,0.95174,0.96009,0.94976,0.94215,0.9363,0.91972,0.94221,0.9461,0.94248,0.94742,0.93786
"A5PLN9",1.01131,1.00732,0.99798,1.00208,1.01709,1.00951,1.01817,1.01008,1.02335,1.01477,1.01304,1.01668,1.01883,1.00567,1.00977,1.00314,1.00814,1.00918,1.01714,1.02167,1.00642,1.01569,0.99671,1.02197,1.01655,1.02229
"A5YKK6",1.07024,1.07017,1.06459,1.07825,1.05788,1.06031,1.07087,1.06987,1.06608,1.06633,1.0621,1.06502,1.07377,1.06621,1.06698,1.06861,1.07312,1.08031,1.08101,1.05719,1.05389,1.05344,1.05853,1.05986,1.05715,1.05306
"A6NC98",0.9579,0.93303,0.93028,0.96918,0.98445,0.98083,0.95709,0.93561,0.96037,0.93561,0.93145,0.93428,0.98585,0.97619,0.98146,0.9844,0.97375,0.9655,0.96173,0.97066,0.97674,0.97726,0.97626,0.98454,0.98003,0.97758
"A6NCE7;Q9GZQ8",0.95924,0.975,0.99511,1.11074,1.02894,1.04746,0.95402,0.97028,1.00994,0.99539,0.96869,0.96649,1.07462,1.06569,1.07883,1.06976,1.08822,1.09517,1.10782,1.04421,1.04802,1.03979,1.02712,1.03802696382273,1.03319,1.03793
"A6NDG6",1.09059,1.09442,1.09778,1.11114,1.06455,1.09033,1.09587,1.09993,1.09127,1.08914,1.08778,1.09181,1.12053,1.11406,1.11685,1.11586,1.11788,1.10824,1.10889,1.08752,1.08523,1.0858,1.08345,1.06962,1.09551,1.08661
"A6NDU8",1.01876,1.01697,1.01609,0.99992,0.98913,0.99496,1.02103,1.00851,1.02464,1.00991,1.00128,1.00825,1.01535,1.01388,0.99967,1.00368,1.0082,1.00233,1.00086,0.98452,0.9999,0.99898,1.00293,0.97571,1.00049,1.00002
"A6NED2",0.95657,0.95425,0.95088,0.94015,0.96222,0.95684,0.94346,0.96831,0.9698,0.98247,0.94262,0.95715,0.94852,0.93985,0.95085,0.94834,0.95634,0.95589,0.9571,0.96626,0.9623,0.96799,0.94949,0.97081,0.96803,0.96328
"A6NFI3",0.94105,0.93224,0.91738,0.93893,0.94692,0.9388,0.93685,0.91852,0.93773,0.92466,0.93769,0.94221,0.95669,0.9533,0.94346,0.9479,0.95862,0.95513,0.95431,0.95133,0.9418,0.94981,0.94602,0.95198,0.94431,0.94891
"A6NHR9",1.04478,1.05045,1.04522,1.01414,1.03697,1.04509,1.0553,1.0409,1.03632,1.05371,1.04849,1.04794,1.04087,1.03502,1.03024,1.02999,1.04169,1.04136,1.03535,1.04754,1.04809,1.04789,1.04052,1.03812,1.05725,1.05679
"A6NIH7",0.93302,0.9342,0.93477,0.94757,0.94677,0.9541,0.93574,0.93305,0.94133,0.94719,0.92809,0.92892,0.9695,0.95558,0.96354,0.96446,0.95617,0.95246,0.95786,0.94348,0.95392,0.953,0.94034,0.9424,0.96181,0.96294
"A6NJ78",0.91665,0.95044,0.94391,0.9017,0.87843,0.92217,0.93787,0.94257,0.95823,0.92895,0.94126,0.94687,0.89635,0.90694,0.89465,0.89006,0.90329,0.91447,0.92105,0.918281752647218,0.96215,0.91371,0.90197,0.90077,0.9261,0.93392
"A6NJG2",0.99441,0.9738,0.97663,0.9341,0.98391,0.99012,0.99385,0.97687,0.9941,0.97941,0.97424,0.98281,0.95647,0.94485,0.93776,0.94434,0.95091,0.94319,0.94739,0.97782,0.97699,0.98289,0.97885,0.98139,0.99181,0.99241
"A6NJW9",0.87971,0.91983,0.89972,0.91147,0.95793,0.94085,0.89462,0.89649,0.907921943663547,0.94882,0.890367211081059,0.81988,0.921147404667993,0.919605393136554,0.917021073812119,0.94282,0.91538,0.8909,0.9169,0.92988,0.91826,0.933583800883797,0.934578164535713,0.934347411045179,0.9755,0.93695489164196
"A6NKD2",1.01756,1.04343,1.03142,1.01989,1.0036,1.01366,1.03556,1.03195,1.02759,1.02676,1.03777,1.04234,1.02668,1.02686,1.0047,1.00981,1.01234,1.02205,1.01677,1.00786,1.02766,0.99494,1.02597,0.99305,1.00932,1.00225
"A6NKT7",1.06201,1.09017,1.07854,1.06355,1.05674,1.06091,1.0953,1.08002,1.06408,1.06646,1.08333,1.09511,1.0541,1.06844,1.06165,1.06341,1.06632,1.0616,1.07087,1.0366,1.07165,1.05834,1.07179,1.04064,1.05598,1.05101
"A6NMK7",0.95249,0.95846,0.94497,0.93003,0.93026,0.9265,0.94132,0.93514,0.94059,0.94865,0.95646,0.94601,0.94314,0.94696,0.9324,0.94214,0.94714,0.93359,0.9345,0.93627,0.93433,0.95005,0.94342,0.93847,0.94624,0.93963
"A6NNL5",0.87376,0.90382,0.89372,0.91505,0.90551,0.93445,0.92529,0.92669,0.92390998196335,0.917215189029004,0.91105,0.90268,0.93319,0.92948,0.93681,0.92228,0.92638,0.91677,0.91427,0.92128,0.94376,0.928634554546882,0.93178,0.93507,0.96102,0.94539
"A6NNZ2",0.93953,0.93993,0.97602,0.9507,0.94463,0.9704,0.95093,0.96514,0.96069,0.94915,0.94607,0.95017,0.95039,0.95546,0.95713,0.95375,0.96082,0.95306,0.956116697713548,0.96867,0.95425,0.96962,0.97186,0.98416,0.9817,0.97495
"A7E2V4",0.91307,0.91276,0.88958,0.94036,0.93112,0.93064,0.92318,0.89719,0.90251,0.89348,0.90941,0.89377,0.94248,0.94468,0.93405,0.937,0.93312,0.94014,0.94229,0.92328,0.93293,0.92792,0.92562,0.92329,0.93639,0.92884
"A7KAX9",0.98105,0.96402,0.95599,0.99154,1.00586,1.0207,0.98378,0.9475,0.95401,0.9371,0.95734,0.96064,0.98257,0.98262,1.00438,0.99507,0.99139,0.9962,0.98872,1.03573,1.00176,1.00255,1.01087,1.0236,0.99749,0.99022
"A7MCY6",0.85085,0.85183,0.85754,0.81589,0.91662,0.85075,0.85967,0.83953,0.8827,0.85941,0.86028,0.85304,0.81694,0.82442,0.79463,0.76565,0.78919,0.80788,0.80956,0.89585,0.89797,0.89197,0.89184,0.91249,0.86673,0.8555
"A8CG34",1.01191,1.00659,1.00587,1.00019,1.00326,0.99778,1.0125,1.00553,1.01124,1.00754,1.01837,1.0146,1.01046,1.00918,1.01404,1.01364,1.01421,1.00827,1.01473,0.99783,1.01477,0.99884,1.00579,1.00194,1.00817,1.00201
"A8MPP1",1.0284003551783,1.03155,1.03721,1.02506350201301,1.03188,1.05217,1.02527486077784,1.02877,1.00447,1.03346,1.02402212303984,1.02331,1.02751,1.02013762042077,1.01934112126045,0.98578,1.04214,1.03289,1.03557,1.04887,1.05493,1.04323,1.04300623873791,1.03739,1.05266,1.05162
"A8MPS7",0.93727,0.93176,0.92835,0.91035,0.96805,0.96052,0.93413,0.9239,0.93873,0.93898,0.94517,0.92885,0.9171,0.91837,0.90585,0.90779,0.91755,0.90487,0.90601,0.95477,0.95314,0.96559,0.95641,0.96223,0.94953,0.95568
"A8MT69",0.93605,0.91219,0.927752493619617,0.920520138074817,0.923038453693341,0.926695849345527,0.93809,0.931060345202728,0.94617,0.94976,0.92347,0.9389,0.90907,0.91515,0.920398898365227,0.915836729763203,0.90994,0.92245,0.92933,0.94499,0.936895921237204,0.93314,0.9054,0.93394,0.95284,0.93485
"A8MVJ9",1.02383,1.02347,1.03328,0.9906,1.01022,1.01905,1.01743,1.03165,1.03,1.0353,1.02222,1.0161,0.98822,0.99177,0.99125,0.98753,0.98937,0.99403,0.99675,1.00685,1.01185,1.0094,1.01959,1.01018,1.02459,1.02208
"A8MW92",0.9173,0.91157,0.91209,0.89522,0.87368,0.9031,0.9103,0.90243,0.91938,0.92246,0.8979,0.9211,0.90732,0.89831,0.89782,0.90042,0.90974,0.90912,0.90324,0.90815,0.90189,0.90543,0.89568,0.89707,0.9157,0.91244
"A8MWD9",1.05436,1.0934,1.10629,1.10717,1.00188,1.08394,1.08,1.07744,1.0343,1.03497,1.09943,1.05287,1.05146,1.09377,1.08086,1.07561,1.05485,1.06539,1.05038,1.02228,1.05216,1.05586,1.05468,1.02359,1.03181,1.02534
"A8MWX3",1.03009,1.02726,1.02555,1.00691,0.9969,1.00616,1.01879,1.02263,1.01551,1.02392,1.01672,1.02468,1.01575,1.00171,1.01354,0.99413,1.01322,1.00515,1.00244,0.98426,1.0012,0.99727,1.00952,0.98761,0.99631,0.99688
"A8MXV4",1.05576,1.05663,1.03095,1.02927,1.01505,1.0025,1.064,1.04532,1.03167,1.04511,1.04695,1.05179,1.01227,0.99487,0.98666,1.00602,1.01268,1.0403,1.03886,0.98429,0.99153,0.99861,0.99258,1.01511,1.00316,1.0021
"A9UHW6",0.97285,0.97589,0.97958,1.02375,0.98096,1.00985,0.97301,0.9815,0.96116,0.96944,0.96841,0.97452,1.03426,1.03218,1.02733,1.03676,1.01447,1.02456,1.02514,1.0019,0.98684,1.01582,0.98321,0.97311,1.00315,0.99259
"B0I1T2",1.13451,1.11458,1.09246,1.19536,1.12873,1.1481,1.14121,1.10352,1.07083,1.1154,1.12064,1.11584,1.19141,1.19737,1.20125,1.2006,1.18048,1.186,1.18345,1.13852,1.13932,1.15057,1.16155,1.12233,1.13314,1.13448
"B2RTY4",0.82528,0.83332,0.83842,0.78056,0.82994,0.82948,0.82136,0.8393,0.81614,0.84576,0.82254,0.82834,0.76987,0.77504,0.77961,0.79702,0.79403,0.8111,0.81065,0.82133,0.81982,0.81104,0.8345,0.83964,0.81243,0.81034
"B7ZAQ6;P0CG08",0.98484,0.96276,0.97755,0.93809,0.9367,0.93639,0.9804,0.95006,0.96993,0.95806,0.94372,0.95093,0.9437,0.93964,0.95324,0.98401,0.96072,0.94748,0.93406,0.93628,0.92825,0.92504,0.95274,0.94692,0.92794,0.93645
"C0HLS1",0.90958,0.9205,0.86926,0.93286,0.85316,0.87658,0.91501,0.9114,0.88058,0.88828,0.91746,0.91726,0.8946,0.87223,0.91827,0.88915,0.90997,0.9076,0.91172,0.88637,0.84356,0.83374,0.878464723992476,0.85531,0.88208,0.86745
"C4AMC7;Q6VEQ5",1.02197,1.00379,1.0131,1.00216,0.99316,1.0001,1.01485,1.01057,1.01824,1.01321,1.03098,1.02373,1.0181,1.01928,1.01961,1.00245,1.01343,1.01368,0.99815,1.01282,1.00273,0.9991,1.01423,1.00662,1.00785,1.00195
"C9J7I0",0.89897,0.87718,0.89802,0.87687,0.88001,0.87656,0.88647,0.89994,0.91477,0.88903,0.89022,0.89386,0.86545,0.87696,0.8717,0.86628,0.86693,0.87400981470371,0.85822,0.88652,0.87803,0.87605,0.89342,0.88563,0.89215,0.8843
"C9JLW8",1.02012,1.01406,1.04391,1.00042,1.00663,1.01933,1.03554,1.05536,1.0189,1.01042,1.04093,1.03804,0.9929,0.98826,1.02458,1.01438,0.9938,0.96937,0.97152,1.02627,1.02261,1.01028,1.04061,1.02649,1.00103,1.01102
"E9PAV3",1.22946,1.22701,1.22529,1.2262,1.22389,1.2225,1.22994,1.23231,1.22978,1.22654,1.24436,1.23547,1.23235,1.23721,1.23709,1.22545,1.23224,1.22473,1.24171,1.22562,1.22795,1.22371,1.22677,1.22793,1.22989,1.22593
"E9PRG8",1.07649,1.08862,1.08171,1.07652,1.05586,1.06744,1.0704,1.06143,1.07162,1.06339,1.08198,1.08151,1.06071,1.05829,1.07385,1.06895,1.06647,1.06633,1.06224,1.06977,1.06356,1.05064,1.06949,1.07227,1.0665,1.06937
"I6L899",1.04297,1.03916,1.03234,1.03185,1.05718,1.05377,1.03676,1.03477,1.04362,1.05584,1.04102,1.0427,1.02983,1.02039,1.03974,1.02944,1.03306,1.02587,1.03175,1.0564,1.05262,1.05822,1.06966,1.06027,1.04887,1.04708
"L0R6Q1",1.04579,1.06778,1.0539,1.04359,1.05417,1.05557,1.03944,1.06077,1.06974,1.06832,1.06171,1.06431,1.03709,1.02927,1.03765,1.03268,1.03732,1.03896,1.03629,1.05955,1.0557,1.05958,1.05882,1.05538,1.06216,1.06126
"L0R819",1.0498,1.04058,1.04509,1.06736,1.00306,1.01672,1.03392,1.04606,1.03074,1.0595,1.05054,1.04864,1.03127,1.03181,1.05754,1.06696,1.03541,1.04254,1.04086,0.99858,0.99026,1.00098,1.00678,1.01227,1.01169,1.00693
"L0R8F8",0.964163261485956,0.97103,0.97836,0.98209,0.93421,0.95581,0.95954,0.9752,0.96148,0.95952,0.96425,0.966724588527365,0.95995,0.9927,0.98417,0.98135,0.973658468726855,0.973399131942173,0.95349,0.9574,0.94,0.95131,0.95097,0.96031,0.94807,0.93379
"O00116",1.14353,1.14532,1.14686,1.13043,1.12636,1.14106,1.15031,1.15324,1.14455,1.1476,1.14615,1.14751,1.13263,1.12877,1.1224,1.13094,1.12536,1.13198,1.12929,1.12844,1.12963,1.13089,1.13215,1.13472,1.13936,1.13645
"O00124",0.94986,0.93726,0.92394,0.98596,0.91831,0.92643,0.94488,0.94237,0.93621,0.93461,0.93257,0.93053,0.93024,0.94502,0.92064,0.92891,0.91475,0.97941,0.97374,0.93912,0.95348,0.91744,0.91508,0.92783,0.95117,0.95827
"O00139",1.06777,1.083,1.08198,1.0637,1.0586,1.06299,1.0671,1.07984,1.08817,1.07955,1.08428,1.08229,1.06073,1.06474,1.06436,1.06276,1.06707,1.06684,1.06466,1.05599,1.05077,1.05521,1.03837,1.05915,1.06326,1.06248
"O00142",0.89235,0.89707,0.87609,0.92738,0.87395,0.87997,0.91091,0.8893,0.90111,0.87335,0.90411,0.89867,0.94322,0.93529,0.92714,0.92731,0.914,0.94727,0.93488,0.87627,0.87907,0.88071,0.87057,0.87247,0.87874,0.87966
"O00148",1.15587,1.15788,1.15347,1.1477,1.12457,1.13692,1.16203,1.14259,1.11981,1.14293,1.13929,1.15488,1.13181,1.14409,1.13872,1.14775,1.15113,1.16509,1.15841,1.14853,1.12881,1.13018,1.1328,1.14694,1.1313,1.1236
"O00151",1.20323,1.17764,1.17111,1.22901,1.1596,1.19039,1.19723,1.15754,1.20002,1.15925,1.18129,1.1814,1.21738,1.2086,1.23153,1.23097,1.20966,1.21292,1.21699,1.17864,1.1764,1.17362,1.17233,1.15551,1.1779,1.17852
"O00154",1.10859,1.11202,1.1262,1.15947,1.06935,1.0744,1.11699,1.1228,1.10747,1.10638,1.12037,1.117,1.14739,1.14472,1.15151,1.15327,1.14579,1.16434,1.15815,1.08801,1.06778,1.06953,1.09374,1.10387,1.05709,1.0546
"O00159",0.94308,0.91487,0.91928,1.00729,0.92651,0.90194,0.94602,0.91275,0.93682,0.94444,0.90602,0.91267,1.01505,1.00267,1.0022,0.99638,1.00415,1.01506,1.01401,0.91994,0.91004,0.92088,0.85872,0.92877,0.90262,0.91212
"O00160",1.11645,1.09128,1.09158,1.11877,1.11832,1.12955,1.11716,1.09868,1.0844,1.07969,1.08775,1.08636,1.11269,1.10698,1.11399,1.11701,1.10263,1.11815,1.11224,1.12136,1.10711,1.11851,1.12676,1.1208,1.123,1.11918
"O00161",1.10638,1.09335,1.11158,1.12112,1.10648,1.10612,1.10045,1.09943,1.12175,1.10748,1.09579,1.10001,1.12355,1.12142,1.14026,1.12267,1.12622,1.11002,1.10917,1.10487,1.09875,1.09587,1.0999,1.10166,1.09539,1.09977
"O00165",1.02405,1.00778,1.04995,0.99876,0.97402,0.97297,1.01487,1.01268,1.03296,1.00764,1.00337,1.00219,0.98066,0.99131,0.99299,1.00126,0.99313,0.98815,0.98119,0.97491,0.9725,0.97314,0.97535,0.97161,0.96777,0.96748
"O00170",1.11325,1.11072,1.11991,1.14378,1.13485,1.13515,1.11944,1.12321,1.11926,1.12189,1.11411,1.11284,1.15814,1.1521,1.14789,1.14479,1.15229,1.14139,1.14444,1.13548,1.13219,1.13668,1.12366,1.13587,1.14811,1.14299
"O00178",1.02746,1.02219,1.02685,1.0226,1.01712,1.01976,1.02842,1.02645,1.02026,1.03088,1.02339,1.02375,1.02632,1.02679,1.03338,1.02419,1.0208,1.0212,1.01865,1.02545,1.02091,1.02317,1.0226,1.02346,1.01692,1.01888
"O00182",1.13763,1.14478,1.1472,1.17294,1.13844,1.15159,1.13624,1.13061,1.13323,1.11854,1.1568,1.14177,1.1658,1.17145,1.178,1.1704,1.16377,1.15842,1.16169,1.15564,1.1454,1.13669,1.15233,1.14575,1.14288,1.13777
"O00186",1.08983,1.08713,1.07308,1.08014,1.07634,1.08152,1.08442,1.08593,1.07654,1.08117,1.08774,1.0842,1.07194,1.07683,1.0755,1.06409,1.0738,1.07369,1.07778,1.07919,1.08421,1.07724,1.08343,1.07822,1.07566,1.07371
"O00189",0.92944,0.93342,0.918959708115881,0.92106,0.92622,0.93787,0.92023,0.93545,0.91434,0.89896,0.9035,0.89553,0.93755,0.91434,0.917371833647522,0.92274,0.90502,0.93109,0.93668,0.93967,0.92645,0.94093,0.91188,0.93601,0.94181,0.90855
"O00193",1.07772,1.07977,1.08883,1.10365,1.04276,1.08594,1.0752,1.08596,1.07339,1.06065,1.09538,1.08426,1.07761,1.09876,1.1214,1.11448,1.08517,1.08248,1.08702,1.0894,1.04544,1.05864,1.0795,1.07899,1.06318,1.05644
"O00203",1.08875,1.08592,1.08153,1.10672,1.06511,1.06779,1.09199,1.0849,1.06502,1.0711,1.08733,1.08323,1.09913,1.09796,1.10005,1.10402,1.09328,1.10571,1.10697,1.0782,1.06145,1.07258,1.06733,1.07286,1.06402,1.06323
"O00214",0.99451,0.95317,0.97409,0.97474,1.02038,1.04085,0.99506,0.95922,0.99103,0.9641,0.95605,0.96602,0.96407,0.96192,0.98103,0.98204,0.97478,0.97389,0.97554,1.04454,1.02778,1.03775,1.01359,1.0223,1.02935,1.02945
"O00217",1.14324,1.15021,1.14473,1.12287,1.12918,1.133,1.13889,1.14517,1.14221,1.14232,1.14871,1.1448,1.11156,1.11277,1.10726,1.10686,1.12025,1.11305,1.11766,1.11487,1.12358,1.13177,1.12144,1.12043,1.13818,1.12647
"O00221",0.96666,0.95948,0.97227,0.93864,1.00941,0.98344,0.96695,0.95852,0.97647,0.97137,0.95697,0.96158,0.95594,0.95819,0.9624,0.96219,0.9575,0.93956,0.942,0.98961,0.98998,0.98614,0.98674,1.00331,0.98168,0.98379
"O00231",1.16453,1.15996,1.16284,1.17491,1.17065,1.16798,1.16152,1.1619,1.15904,1.16042,1.15612,1.15931,1.16762,1.16784,1.16986,1.16455,1.16738,1.16812,1.17484,1.16285,1.16624,1.16532,1.16719,1.16655,1.17016,1.16744
"O00232",1.13741,1.14217,1.14799,1.15766,1.14536,1.14226,1.14854,1.14749,1.13039,1.13224,1.14429,1.14269,1.1494,1.1513,1.16156,1.15487,1.15184,1.16035,1.15405,1.15617,1.13209,1.13979,1.16388,1.16125,1.13682,1.13482
"O00233",1.10178,1.10235,1.10964,1.11074,1.0841,1.09075,1.09511,1.10952,1.10058,1.09287,1.11284,1.10042,1.11181,1.11491,1.12767,1.12168,1.10803,1.10005,1.09248,1.09199,1.09755,1.08595,1.08966,1.08404,1.07968,1.07928
