"","MOLM13_2W_2","MOLM13_WT_1","MV4_11_6W_1","MV4_11_WT_1","OCI_6W_2","OCI_WT_1","MOLM13_2W_3","MOLM13_6W_1","MOLM13_6W_2","MOLM13_6W_3","MOLM13_WT_2","MOLM13_WT_3","MV4_11_2W_1","MV4_11_2W_2","MV4_11_2W_3","MV4_11_6W_2","MV4_11_6W_3","MV4_11_WT_2","MV4_11_WT_3","OCI_2W_1","OCI_2W_2","OCI_2W_3","OCI_6W_1","OCI_6W_3","OCI_WT_2","OCI_WT_3"
"Q9Y388",0.95506,0.967,0.97345,0.96306,0.98618,0.9692,0.97548,0.95674,0.95938,0.97681,0.96685,0.96845,0.98242,0.98068,0.97848,0.97209,0.98632,0.98362,0.98271,0.97128,0.98378,0.98339,0.9768,0.97038,0.98262,0.9774
"Q9Y394",1.06693,1.06595,1.09354,1.04911,1.01201,1.02689,1.06323,1.08338,1.06298,1.08714,1.07241,1.06582,1.04993,1.04935,1.05884,1.04933,1.03619,1.04065,1.03671,1.01578,1.0132,1.01252,1.04975,1.01578,1.00924,1.01018
"Q9Y399",1.07083,1.08449,1.07531,1.06992,1.06363,1.06634,1.07481,1.08079,1.0774,1.07574,1.08169,1.07397,1.06826,1.05994,1.05046,1.05124,1.05251,1.07645,1.0769,1.05713,1.07483,1.06725,1.06116,1.06469,1.06658,1.06087
"Q9Y3A0",0.94801,0.95873,0.94511,0.98618,1.01189,0.9804,0.97188,0.96282,0.96729,0.96218,0.95119,0.94474,0.95448,0.96793,0.96546,0.97764,0.96809,0.97704,0.98125,0.97256,1.00457,1.00671,0.99099,0.98708,0.99254,0.9999
"Q9Y3A2",1.02718,1.03094,1.04414,1.00315,1.02686,0.98352,1.02779,1.02072,1.0348,1.04095,1.02886,1.03439,1.02024,1.01924,1.0087,0.99989,1.02301,1.03318,1.02471,1.00328,1.01529,1.01413,1.00123,1.02376,1.00381,1.01603
"Q9Y3A3",0.9765,0.97216,0.98118,0.98175,0.95973,0.97525,0.97785,0.96375,0.97359,0.96071,0.96588,0.96798,0.97795,0.97749,0.98085,0.97065,0.97547,0.97903,0.98342,0.97468,0.95058,0.97421,0.97387,0.96721,0.96588,0.96845
"Q9Y3A4",1.08,1.09331,1.08278,1.06655,1.07949,1.05955,1.07316,1.07027,1.0721,1.09103,1.08014,1.08459,1.06452,1.06882,1.06202,1.05477,1.06978,1.07185,1.07465,1.06722,1.06693,1.07242,1.05894,1.06705,1.07068,1.06982
"Q9Y3A5",1.03097,1.0197,1.04051,1.00087,1.0237,1.00289,1.0241,1.03171,1.02244,1.04138,1.02392,1.02669,0.99246,0.99556,0.98938,0.98832,0.99663,1.00004,0.99251,1.00931,1.00589,0.99554,1.00148,1.01092,0.98807,0.99724
"Q9Y3A6",1.10579,1.09596,1.10427,1.11245,1.09965,1.11471,1.11233,1.09492,1.08629,1.08585,1.10003,1.09455,1.11009,1.09872,1.10157,1.11091,1.10421,1.10773,1.10737,1.10414,1.09346,1.09392,1.10364,1.08858,1.10648,1.10329
"Q9Y3B1",0.89494,0.91282,0.87318,0.91495,0.895,0.89216,0.85799,0.89392,0.89991,0.89593,0.91687,0.882,0.90335,0.87775,0.8826,0.89366,0.89592,0.90564,0.90492,0.91319,0.918,0.90553,0.89472,0.89911,0.90678,0.91487
"Q9Y3B2",1.02206,1.02494,1.02346,0.99961,1.00859,1.02948,1.02621,1.01825,1.01417,1.01917,1.01709,1.02377,1.00663,0.99688,0.99874,0.99803,1.00667,1.01502,1.01156,1.02898,1.01933,1.01918,1.03107,1.02112,1.01058,1.02015
"Q9Y3B3",1.06626,1.06819,1.07322,1.06862,1.05828,1.08831,1.07098,1.07081,1.06309,1.05768,1.07706,1.07781,1.07697,1.0701,1.08247,1.07075,1.07165,1.07728,1.07521,1.08837,1.07094,1.0746,1.08079,1.07188,1.07899,1.07049
"Q9Y3B4",1.1652,1.17012,1.16977,1.15489,1.1612,1.16715,1.16855,1.16485,1.16382,1.17344,1.16702,1.17428,1.16536,1.14736,1.15609,1.15414,1.17035,1.16784,1.16753,1.17004,1.16057,1.15934,1.1659,1.16662,1.16406,1.16103
"Q9Y3B7",1.08018,1.09346,1.07747,1.08741,1.08134,1.07111,1.08345,1.0853,1.09783,1.09154,1.08161,1.0878,1.10366,1.10269,1.08095,1.07633,1.08997,1.09624,1.09298,1.07284,1.05755,1.07945,1.07303,1.07058,1.05733,1.0805
"Q9Y3B8",1.0149,1.02722,1.02242,0.94422,0.99347,0.97906,1.00943,1.03021,1.02645,1.02084,1.02128,1.02155,0.96739,0.95135,0.95322,0.96312,0.95814,0.946,0.94532,0.95883,0.97219,0.96697,0.97135,0.97594,0.97414,0.98176
"Q9Y3B9",1.1012,1.08268,1.09217,1.06514,1.09916,1.09297,1.09449,1.08351,1.09859,1.08691,1.08762,1.08931,1.05008,1.03723,1.06513,1.04882,1.05996,1.05009,1.0632,1.11273,1.11099,1.09343,1.0849,1.09111,1.09668,1.09912
"Q9Y3C0",1.03065,1.02772,1.0348,1.04953,1.03239,1.02661,1.0254,1.03968,1.04239,1.04738,1.02812,1.03314,1.05583,1.04857,1.05563,1.04391,1.0471,1.03775,1.0465,1.02559,1.02806,1.03218,1.03176,1.02006,1.03207,1.03679
"Q9Y3C1",1.08346,1.0927,1.08699,1.05645,1.06347,1.06761,1.0754,1.0842,1.08623,1.07916,1.09228,1.09383,1.04108,1.04902,1.06685,1.05979,1.05525,1.04745,1.04927,1.07705,1.07673,1.066,1.06843,1.07107,1.07026,1.05979
"Q9Y3C4",1.04567,1.04505,1.04316,1.05602,1.00146,1.04858,1.04862,1.04108,1.00429,1.02266,1.04723,1.04533,1.02387,1.03413,1.04554,1.04184,1.02183,1.0388,1.04083,1.03526,0.98074,1.01521,1.04237,1.02316,1.02222,1.01445
"Q9Y3C6",1.12632,1.12387,1.11984,1.10617,1.13039,1.12037,1.12499,1.12348,1.12549,1.13636,1.11983,1.12349,1.11558,1.10129,1.10698,1.09947,1.11623,1.11951,1.11462,1.1327,1.1299,1.13293,1.11125,1.12045,1.12842,1.1253
"Q9Y3C7",0.91279,0.93072,0.92564,0.91439,0.91666,0.92476,0.89062,0.9026,0.89468,0.906744310021004,0.90257,0.90959,0.91463,0.91077,0.89962,0.91728,0.92332,0.92189,0.90436,0.87674,0.90336,0.9091,0.91196,0.89515,0.8896,0.89802
"Q9Y3C8",1.12635,1.09903,1.08831,1.10765,1.17835,1.15542,1.11709,1.0919,1.15294,1.10871,1.09289,1.09937,1.12363,1.1076,1.10051,1.09933,1.11687,1.12112,1.12187,1.16061,1.15812,1.16675,1.1415,1.17708,1.16335,1.168
"Q9Y3D0",1.06687,1.06549,1.07099,1.07236,1.06749,1.07204,1.05841,1.07362,1.05785,1.05723,1.06626,1.06059,1.06914,1.06968,1.07462,1.06638,1.07969,1.07091,1.07622,1.08128,1.07408,1.06903,1.07734,1.07449,1.06878,1.05786
"Q9Y3D3",1.09937,1.12499,1.11754,1.09965,1.09674,1.09313,1.11789,1.11031,1.10799,1.09664,1.12317,1.12531,1.08981,1.10103,1.1008,1.09692,1.09789,1.09244,1.08349,1.09088,1.10156,1.0902,1.10686,1.09676,1.09041,1.09612
"Q9Y3D5",0.9896,0.99153,0.98628,0.97375,0.99161,0.97991,0.9842,0.99159,0.9962,0.9994,0.9903,0.99833,0.98216,0.97556,0.98399,0.98663,0.97807,0.98221,0.98722,0.99158,0.99064,0.99284,0.99269,0.98755,0.98981,0.99702
"Q9Y3D6",0.86763,0.88254,0.85421,0.92513,0.81924,0.9168,0.88535,0.85919,0.90463,0.89129,0.91159,0.89791,0.9267,0.89753,0.92565,0.90712,0.92291,0.93687,0.94234,0.84441,0.85472,0.87005,0.88606,0.89779,0.885934054411611,0.85088
"Q9Y3D7",1.09583,1.10706,1.10438,1.09892,1.11486,1.09979,1.10034,1.10556,1.11955,1.10176,1.11425,1.11051,1.08803,1.09007,1.08811,1.08998,1.08891,1.0952,1.09871,1.10315,1.10648,1.09597,1.11829,1.11924,1.10096,1.09448
"Q9Y3D8",1.08281,1.10952,1.11539,1.07374,1.07705,1.06787,1.08414,1.12325,1.11109,1.12195,1.10591,1.1139,1.06213,1.06585,1.06024,1.05908,1.07067,1.06344,1.07513,1.06573,1.06882,1.07278,1.07134,1.07466,1.08114,1.07522
"Q9Y3D9",1.09723,1.1077,1.10013,1.08906,1.10284,1.09121,1.09509,1.09655,1.10582,1.11196,1.10052,1.10221,1.09226,1.09001,1.07851,1.08096,1.08861,1.09087,1.09755,1.08821,1.10669,1.10355,1.08254,1.08995,1.10474,1.10323
"Q9Y3E0",1.07882,1.07655,1.06646,1.07289,1.04878,1.06073,1.07054,1.06907,1.07443,1.05947,1.07772,1.07931,1.06354,1.05704,1.06846,1.06269,1.05947,1.05684,1.06409,1.04309,1.04272,1.04248,1.06342,1.05396,1.04959,1.04647
"Q9Y3E2",0.99831,0.96019,0.9963,0.99483,0.98643,0.98777,0.98743,0.97198,0.98561,0.97931,0.96176,0.97607,1.00782,0.99305,1.01237,1.03401,1.02608,0.99598,1.00184,0.96249,0.99671,0.99489,0.99083,0.99543,0.99368,0.99671
